No.,Abies,Acanthaceae,Acer,Actinidia,Aesculus,Aizoaceae,Alangium,Alnus,Amaryllidaceae,Anacardiaceae (other),Annonaceae,Apiaceae,Apocynaceae (other),Aquifoliaceae,Araceae,Araliaceae,Artemisia,Artocarpus,Asclepiadaceae,Asteraceae (non-Artemisia),Balsaminaceae,Berberidaceae,Betula,Bignoniaceae,Bombacaceae,Boraginaceae,Brassicaceae,Broussonetia,Buxaceae,Buxus,Cactaceae,Calligonum,Campanulaceae,Canarium,Cannabis,Capparidaceae,Caprifoliaceae,Carpinus,Carya,Caryophyllaceae,Castanea,Castanopsis,Casuarina,Cathaya,Cedrus,Celastraceae,Celtis,Cerealia+large Poaceae,Chenopodiaceae,Chloranthus,Clethra,Combretaceae,Commelinaceae,Convolvulaceae,Cornaceae,Corylus,Cotinus,Crassulaceae,Crypteronia,Cucurbitaceae,Cupressaceae (other),Cycas,Cyclobalanopsis,Cyclocarya,Cyperaceae,Dacrydium,Daphniphyllum,Diospyros,Dipsacaceae,Dipterocarpaceae,Droseraceae,Elaeagnaceae (other),Elaeagnus,Elaeocarpaceae,Empetrum,Engelhardtia,Ephedra,Ericaceae,Eucommiaceae,Euphorbiaceae (tropical),Euphorbiaceae (unclear),Euptelea,Fabaceae (herb),Fabaceae (shrub),Fabaceae (tree),Fabaceae (unclear),Fagus,Ficus,Flacourtiaceae,Garcinia,Gentianaceae,Geraniaceae,Gesneriaceae,Ginkgo,Guttiferae,Hainania,Haloragidaceae,Hamamelidaceae,Hippophae,Humulus,Hydrangea,Icacinaceae,Iridaceae,Juglans,Juncaceae,Juniperus,Keteleeria,Koenigia,Lamiaceae,Lardizabalaceae,Larix,Lauraceae,Liliaceae,Linaceae,Liquidambar,Lithocarpus,Lobeliaceae,Loranthaceae,Lythraceae,Magnoliaceae,Malvaceae,Melastomataceae,Meliaceae,Menispermaceae,Microcos,Monotropa,Morus,Myrica,Myricaria,Myristicaceae,Myrsinaceae,Myrtaceae,Nitraria,Nyctaginaceae,Nyssa,Oenotheraceae,Olacaceae,Oleaceae (temperate),Oleaceae (tropical/subtropical),Oleaceae (unclear),Orobanche,Ostrya,Ostryopsis,Oxalidaceae,Palmae,Pandanaceae,Papaveraceae,Peganum,Pentaphylacaceae,Picea,Pinus,Piperaceae,Pistacia,Plantago,Platanus,Platea,Platycarya,Plumbaginaceae,Poaceae (wildgrass),Podocarpaceae,Polemoniaceae,Polygalaceae,Polygonaceae (other),Polygonum,Populus,Primulaceae,Proteaceae,Pseudolarix,Pterocarya,Pteroceltis,Pyrola,Quercus (deciduous),Quercus (evergreen),Quercus (unclear),Ranunculaceae (other),Reaumuria,Reseda,Rhamnaceae,Rheum,Rhizophoraceae,Rhoiptelea,Rhus,Ribes,Rosaceae,Rubiaceae,Rumex,Rutaceae,Sabiaceae,Sabina,Salix,Samydaceae,Sapindaceae,Sapotaceae,Saururaceae,Saxifragaceae (herb),Saxifragaceae (shrub),Saxifragaceae (unclear),Schisandra,Scrophulariaceae,Sesamum,Simaroubaceae,Solanaceae,Sterculiaceae,Sterculiaceae?,Styracaceae,Symplocos,Tamaricaceae,Tamarix,Taxaceae,Taxodiaceae,Thalictrum,Theaceae,Thymelaeaceae,Tilia,Trema,Tristellateia,Trochodendron,Tropaeolaceae,Tsuga,Ulmaceae (other),Ulmus,Urtica,Urticaceae (non-Urtica),Valerianaceae,Verbenaceae,Violaceae,Vitaceae,Zelkova,Zygophyllaceae (other) ,Zygophyllum
1,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,21.73913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.60869565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.173913043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.347826087,0,0,0,0,0,0,0,0,39.13043478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,52.51396648,0,0,1.675977654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.98882682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.703910615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.117318436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,3.672316384,0,0,0,0,27.68361582,0,0,0.564971751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564971751,0,0,0,0,0,0,0,0,2.542372881,0,0,0,0,0,0,0.847457627,0,4.802259887,0,0,0.282485876,0,0,0,18.92655367,0,0,0,0,0,0,0,0,0,0,0,0.282485876,0,0,0,0,0,0,0,0,0.282485876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847457627,0,0,0,0.282485876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.824858757,0,0,0,0,0,0,0,22.88135593,0,0,0,0.282485876,0,0,1.97740113,0,0,0,0,0,0,0,0,2.824858757,0,0,0,0,0,0,0,0,6.214689266,0.282485876,0,0,0,0,0,0,0,0,0,0,0,0.282485876,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847457627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,6.268656716,0,0,0,0,26.56716418,0,0,0.895522388,0,0,0,0,0,0,0.298507463,0,0,0,0,0,0,0,0,0,0,0,0,0.298507463,0,0,0,0,0,0,0,0,1.791044776,0,0,0,0,0,0,0,0,3.880597015,0,0,0,0,0,0,24.7761194,0,0,0,0,0,0,0,0,0,0,0,0.895522388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298507463,1.791044776,0,0,0,0,0,0,0,11.34328358,0,0,0,0,0,0,11.94029851,0,0,0,0,0,0,0,0,2.985074627,0,0,0,0,0,0,0,0,5.074626866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298507463,0,0,0,0,0,0,0,0,0,0,0,0.597014925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,1.298701299,0,0,0,0,25.10822511,0,0,1.731601732,0,0,0.865800866,0,0,0,0.432900433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.463203463,0,0,0,0,0,0,0,0,2.164502165,0,0,0.865800866,0,0,0,35.06493506,0,0,0,0,0,0,0,0,0,0,0,2.164502165,0,0,0,0,0,0,0,0,1.298701299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.164502165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.761904762,0,0,0,0,0,0,0,7.792207792,0,0,0,0,0,0,3.463203463,0,0,0,0,0,0,0,0,3.463203463,0,0,0,0,0,0,0,0,2.164502165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.432900433,0,0,1.298701299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,15.80547112,0,0,0.607902736,0,0,1.215805471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303951368,0,0,0,0,0,0,0,0,3.951367781,0,0,0,0,0,0,0,0,2.127659574,0,0,0.911854103,0,0,0,30.69908815,0,0,0,0,0,0,0,0,0,0,0,1.215805471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.911854103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607902736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.647416413,0,0,0,0,0,0,0,29.78723404,0,0,0,0,0,0,1.519756839,0,0,0,0,0,0,0,0,3.039513678,0,0,0,0,0,0,0,0,3.647416413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,5.063291139,0,0,0,0,22.78481013,0,0,1.898734177,0,0,0.949367089,0,0,0,0.632911392,0,0,0,0,0,0,0,0,0,0,0,0,1.582278481,0,0,0,0,0,0,0,0,0.949367089,0,0,0,0,0,0,0,0,10.12658228,0,0,0.949367089,0,0,0,22.46835443,0,0,0,0,0,0,0,0,0,0,0,1.265822785,0,0,0,0,0,0,0,0,0.316455696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.265822785,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316455696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316455696,2.53164557,0,0,0,0,0,0,0,7.278481013,0,0,0,0.316455696,0,0,5.379746835,0,0,0,0,0,0,0,0,5.696202532,0,0,0,0,0,0,0,0,4.113924051,0.949367089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316455696,0,0,0,0,0,0,0,0,2.53164557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0.431034483,0,0,0,0,53.44827586,0,0,1.724137931,0,0,0.431034483,0,0,0,0.431034483,0,0,0,0,0,0,0,0,0,0,0,0,1.293103448,0,0,0,0,0,0,0,0,4.310344828,0,0,0,0,0,0,1.293103448,0,9.482758621,0,0,0,0,0,0,2.155172414,0,0,0,0,0,0,0,0,0,0,0,2.586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431034483,0,0,0,0,0.431034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.879310345,0,0,0,0,0,0,0,0.862068966,0,0,0,0.862068966,0,0,4.310344828,0,0,0,0,0,0,0,0,6.896551724,0,0,0,0,0,0,0,0,3.879310345,0,0,0,0,0,0,0,0,0,0,0,0,0.431034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,1.162790698,0,0,0,0,10.46511628,0,0,4.651162791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.76744186,0,0,0,0,0,0,0,0,10.46511628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.162790698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.581395349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.744186047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,1.293103448,0,0,0,0,46.98275862,0,0,4.74137931,0,0,7.327586207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.293103448,0,0,0,0,0,0.431034483,0,8.620689655,0,0,0,0,1.293103448,0,3.448275862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.862068966,0,0,0,0,0.431034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.293103448,0,0,4.74137931,0,0,0,0,0,0,0,0,1.724137931,0,0,0,0,0,0,0,2.586206897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.448275862,0.862068966,0,0,0,0,0,0,0,0,1.293103448,0.862068966,0,0,0,0,0.431034483,0,0,0,0,0,0,0,0,0.431034483,0,0,0,0,0,0,0,0,0,0,0,4.310344828,0,0,0,0,0,0,0,0,0,0.431034483,0,0,0,0,0.431034483,0,0,0,0
11,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0.568319961,0,0,0,0,33.23911986,0,0,38.06831996,0,0,5.681983953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.965840019,0,0,0,0,0,0,1.420495988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852176027,0,0,0,0,0,0,0,0,0.283856066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.420495988,0,0.852176027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.124848043,0,0,0,0,0,0,0,0,0,0,5.397520058,0,0,0,0,0,0,0,0.568319961,0,0,0,0,2.272672016,0,0,0,0,0,0,0,0,0,0.283856066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,18.12884155,0,0,7.601933092,0,0,46.19903345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.339417257,0,0,0,0,0,0,6.432693661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584619716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.169239431,0,0,0,0,0,0,0,0,0,0,17.54422184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0.249805259,0,0,0,0,43.50036262,0,0,33.50009401,0,0,5.000134304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.250261893,0,0,0,0,0,0,0.999892557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.249805259,0,0,0,0,0,0,0,0,1.249697816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.999785114,0,0.500282038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.749872411,0,0,0,0,0,0,0,0,0,0,3.250154449,0,0,0,0,0,0,0,0.750087298,0,0,0,0,3.749764968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,10.69515857,0,0,0,0,0,76.47038377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356416159,0,0,0,0,0,0,7.130194839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.178341769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.247857626,0,0,0,0,0,0,0,0,0,0,3.743305499,0,0,0,0,0,0,0,0.178341769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,28.77941904,0,0,15.60887695,0,0,19.51374655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.463000919,0,0,0,0,0,0,1.950667892,0,0,0,0,0,0,0,0,0.487666973,0,0,0,0,0,0,0,0,0,0,0,0.975333946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.318538413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.293872358,0,0,0,0,0,0,0,0,0,0,14.63354301,0,0,0,0,0,0,0,0.487666973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487666973,0,0,0,0,0,0,0,0,0
16,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,21.56181346,0,0,7.062113042,0,0,33.08967446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371479928,0,0,0,0,0,0,0,0,4.833233473,0,0,0,0,0,0,16.35710006,0,0,0,0,0,0,0,0,0.371479928,0,0,0,0,0,0,0,0,0,0,0,0.371479928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.43359297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.228879569,0,0,0,0,0,0,0,0,0,0,4.833233473,0,0,0,0,0,0,0,0.371479928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.742959856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371479928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,31.61501908,0,0,5.497623988,0,0,20.6184325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.466903152,0,0,0,0,0,0,10.65256676,0,0,0,0,0,0,0,0,0.344019811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.749481293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.749481293,0,0,0,0,0,0,0,0,0,0.344019811,19.58771167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030720835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344019811,0,0,0,0,0,0,0,0,0
18,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0.138713745,0,0,0,0,10.24916293,0,0,3.323911815,0,0,65.51245815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.077662304,0,0,0,0,0,0,8.864199678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969691699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.046919163,0,0,0,0,0,0,0,0,0,0,5.401574118,0,0,0,0,0,0,0,0.276992651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138713745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0.0000 ,0.0000 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,29.21741228,0,0,3.291932956,0,0,15.22569235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.64182644,0,0,0,0,0,0,2.46995458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.233972427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.40371398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.057960529,0,0,0,0,0,0,0,0,0,0,22.22155231,0,0,0,0,0,0,0,0.411994051,0,0,0,0,0,0.411994051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411994051,0,0,0,0,0,0,0,0,0
20,0,0.0000 ,0.8302 ,0 ,0,0,0,0,0,0,0,0,0,0,0,0,22.40671444,0,0,0.830214977,0,0,47.71766631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.149559895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.415107489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.489129941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.904237429,0,0,0,0,0,0,0,0,0,0,9.127819777,0,0,0,0,0,0,0,0.415107489,0,0,0,0,0,4.149559895,0,0,0,0,0,0,0,0,2.074022452,0,0,0,0,0,0,0,0,0,1.660429954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.830214977,0,0,0,0,0,0,0,0,0
21,0,0.0000 ,0.2849 ,0 ,0,0,0,0,0,0,0,1.424501425,0,0,0,0,25.07122507,0,0,0,0,0,2.279202279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854700855,0.854700855,0,0,0,0,0,0,0,0,0,11.96581197,0,0,0,0,0,0,0.854700855,0,0,0,0,0,0,0,0,0.284900285,0,0,0,0,0,0,0,0,0,0,0,0.284900285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.401709402,0,0,0,0,0,0,0,0,0.284900285,0,0,0,0.284900285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.284900285,0,0,0,0,0,0,0,0,0,0,2.564102564,0,0,0,0,0,0,0,35.61253561,0,0,0,0,0.56980057,0,0,0,0,0,0,0,0,0,1.994301994,0.284900285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854700855,0,3.703703704,0,0,0,0,0,0,0,0,0
22,0,0.0000 ,1.3029 ,0 ,0,0,0,0.651465798,0,0,0,1.302931596,0,0,0,0,18.56677524,0,0,1.302931596,0,0,1.628664495,0,0,0,0,0,0,0,0,0,0.325732899,0,0,0,0,1.954397394,0.325732899,0,0,0,0,0,0,0,0,0,0.977198697,0,0,0,0,0,0,0.977198697,0,0,0,0,0,0,0,0,1.302931596,0,0,0,0,0,0,0,0,0,0,0,0.325732899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.30944625,0,0,0,0,0,0,0,0,0.325732899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.560260586,0,0,0,0,0,0,0,41.36807818,0,0,0,0,0.651465798,0,0,0,0,0,0,0,0,0,1.954397394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.560260586,0,0,0,0.325732899,0,0,0,0,0
